filename,platform,prompt_tokens,completion_tokens,total_time_sec,tokens_per_second,valid_json
2601.14039v1_Generalizing Abstention for Noise-Robust Learning .pdf,AMD RX 6800 (Vulkan),899,139,5.234797954559326,26.553078305330935,True
2601.14041v1_Top 10 Open Challenges Steering the Future of Diff.pdf,AMD RX 6800 (Vulkan),595,219,7.407421588897705,29.564943397880675,True
2601.14047v1_Collective intelligence in science direct elicitat.pdf,AMD RX 6800 (Vulkan),796,171,6.139429092407227,27.85275266253659,True
2601.14051v1_Kakugo Distillation of Low-Resource Languages into.pdf,AMD RX 6800 (Vulkan),1056,147,5.600436687469482,26.247953187097078,True
2601.14053v1_LLMOrbit A Circular Taxonomy of Large Language Mod.pdf,AMD RX 6800 (Vulkan),1018,115,4.534696817398071,25.36001956267166,True
2601.14055v1_Decoder-Free Supervoxel GNN for Accurate Brain-Tum.pdf,AMD RX 6800 (Vulkan),679,166,5.839876651763916,28.425257911887613,True
2601.14056v1_POCI-Diff Position Objects Consistently and Intera.pdf,AMD RX 6800 (Vulkan),706,151,5.416474342346191,27.877912910890497,True
2601.14063v1_XCR-Bench A Multi-Task Benchmark for Evaluating Cu.pdf,AMD RX 6800 (Vulkan),929,183,6.6506028175354,27.516302660187527,True
2601.14069v1_Unsupervised Video Class-Incremental Learning via .pdf,AMD RX 6800 (Vulkan),861,114,4.363045692443848,26.128536814874803,True
2601.14084v1_DermaBench A Clinician-Annotated Benchmark Dataset.pdf,AMD RX 6800 (Vulkan),873,194,6.953559398651123,27.89938057301025,True
2601.14086v1_Two-Stream temporal transformer for video action c.pdf,AMD RX 6800 (Vulkan),863,107,4.2036683559417725,25.45395852856907,True
2601.14087v1_1-bit Count-based Sorting Unit to Reduce Link Powe.pdf,AMD RX 6800 (Vulkan),885,133,5.065973520278931,26.253591628066204,True
2601.14091v1_Zero-shot adaptable task planning for autonomous c.pdf,AMD RX 6800 (Vulkan),834,172,6.271768569946289,27.42448132161755,True
2601.14096v1_Remapping and navigation of an embedding space via.pdf,AMD RX 6800 (Vulkan),283,124,4.0612266063690186,30.532647403997846,True
2601.14099v1_Causal feature selection framework for stable soft.pdf,AMD RX 6800 (Vulkan),288,80,2.7789013385772705,28.788355631566986,True
2601.14115v1_Riemannian Liquid Spatio-Temporal Graph Network.pdf,AMD RX 6800 (Vulkan),1053,144,5.46376895904541,26.355433598927036,True
